ㄱ,g/k,'audio_wav/ㄱ.wav'
ㄲ,kk,'audio_wav/ㄲ.wav'
ㄷ,d/t,'audio_wav/ㄷ.wav'
ㄸ,tt,'audio_wav/ㄸ.wav'
ㄹ,r/l,'audio_wav/ㄹ.wav'
ㅁ,m,'audio_wav/ㅁ.wav'
ㄴ,n,'audio_wav/ㄴ.wav'
ㅂ,b/p,'audio_wav/ㅂ.wav'
ㅃ,pp,'audio_wav/ㅃ.wav'
ㅅ,s/t,'audio_wav/ㅅ.wav'
ㅆ,ss,'audio_wav/ㅆ.wav'
ㅇ,ng,'audio_wav/ㅇ.wav'
ㅈ,j,'audio_wav/ㅈ.wav'
ㅉ,jj,'audio_wav/ㅉ.wav'
ㅊ,ch,'audio_wav/ㅊ.wav'
ㅋ,k,'audio_wav/ㅋ.wav'
ㅌ,t,'audio_wav/ㅌ.wav'
ㅍ,p,'audio_wav/ㅍ.wav'
ㅎ,h,'audio_wav/ㅎ.wav'
ㅏ,a,'audio_wav/ㅏ.wav'
ㅑ,ya,'audio_wav/ㅑ.wav'
ㅐ,ae,'audio_wav/ㅐ.wav'
ㅒ,yae,'audio_wav/ㅒ.wav'
ㅓ,eo,'audio_wav/ㅓ.wav'
ㅔ,e,'audio_wav/ㅔ.wav'
ㅕ,yeo,'audio_wav/ㅕ.wav'
ㅖ,ye,'audio_wav/ㅖ.wav'
ㅗ,o,'audio_wav/ㅗ.wav'
ㅘ,wa,'audio_wav/ㅘ.wav'
ㅙ,wae,'audio_wav/ㅙ.wav'
ㅚ,oe,'audio_wav/ㅚ.wav'
ㅛ,yo,'audio_wav/ㅛ.wav'
ㅜ,u,'audio_wav/ㅜ.wav'
ㅝ,wo,'audio_wav/ㅝ.wav'
ㅞ,we,'audio_wav/ㅞ.wav'
ㅟ,wi,'audio_wav/ㅟ.wav'
ㅠ,yu,'audio_wav/ㅠ.wav'
ㅡ,eu,'audio_wav/ㅡ.wav'
ㅢ,ui,'audio_wav/ㅢ.wav'
ㅣ,i,'audio_wav/ㅣ.wav'
